ITEM_20150317_000001	Empty_头盔 
ITEM_20150317_000002	人鱼战士 头盔 
ITEM_20150317_000003	Empty_手镯 
ITEM_20150317_000004	红色的 手镯 
ITEM_20150317_000005	手镯 
ITEM_20150317_000006	皱褶的 手镯 
ITEM_20150317_000007	久远的 手镯 
ITEM_20150317_000008	羽毛之 手镯 
ITEM_20150317_000009	穗须之手镯 
ITEM_20150317_000010	Empty_武器 
ITEM_20150317_000011	粗糙的罗马短剑 
ITEM_20150317_000012	单手式 剑 [切割类] 
ITEM_20150317_000013	皇家卫兵经常携带的一种武器. 
ITEM_20150317_000014	罗马短剑 
ITEM_20150317_000015	经过军用改良的一种武器. 
ITEM_20150317_000016	低端的 砍刀 
ITEM_20150317_000017	这种剑能造成额外的割伤. 
ITEM_20150317_000018	低端的 卡斯卡拉 
ITEM_20150317_000019	由于容易制造, 这种剑是冒险家们替换掉练习剑的第一选择. 
ITEM_20150317_000020	五指剑 
ITEM_20150317_000021	推荐给那些希望得到更重更强的剑的人. 
ITEM_20150317_000022	军刀 
ITEM_20150317_000023	为骑兵打造优化的初级武器. 剑柄处配有护手. 
ITEM_20150317_000024	弯刀 
ITEM_20150317_000025	大而弯的新月边缘使得斜切更有力道. 
ITEM_20150317_000026	半月刀 
ITEM_20150317_000027	它的巨大重量使得它能够强力侧砍. 
ITEM_20150317_000028	格里斯剑 
ITEM_20150317_000029	它扭曲的边缘放大了造成的伤害. 兼具实用和装饰的一把剑. 
ITEM_20150317_000030	短刀 
ITEM_20150317_000031	它那极其锋利的刀片深受剑士油子们的喜爱. 
ITEM_20150317_000032	粗糙的弯刀 
ITEM_20150317_000033	粗糙的半月刀 
ITEM_20150317_000034	军用的罗马短剑 
ITEM_20150317_000035	提供给全职士兵们的基本装备. 它的品质好过市面上的军用品. 
ITEM_20150317_000036	市长的砍刀 
ITEM_20150317_000037	看着这把武器就猜想着它前任的所作所为. 
ITEM_20150317_000038	粗糙的卡斯卡拉 
ITEM_20150317_000039	莫普拉 
ITEM_20150317_000040	这种剑结合了实用性和美观. 
ITEM_20150317_000041	重型的罗马短剑 
ITEM_20150317_000042	砍刀 
ITEM_20150317_000043	重型的砍刀 
ITEM_20150317_000044	卡斯卡拉 
ITEM_20150317_000045	重型的五指剑 
ITEM_20150317_000046	重型的军刀 
ITEM_20150317_000047	重型的弯刀 
ITEM_20150317_000048	丹凯尔 军刀 
ITEM_20150317_000049	丹凯尔 短刀 
ITEM_20150317_000050	丹凯尔 砍刀 
ITEM_20150317_000051	丹凯尔 卡斯卡拉 
ITEM_20150317_000052	丹凯尔 五指剑 
ITEM_20150317_000053	丹凯尔 弯刀 
ITEM_20150317_000054	小冢 
ITEM_20150317_000055	没有描述可用. 
ITEM_20150317_000056	波德莱尔之刃 
ITEM_20150317_000057	赛夫沙丘 
ITEM_20150317_000058	克里西马德 
ITEM_20150317_000059	菲朗基人 
ITEM_20150317_000060	棘刺的 切割者 
ITEM_20150317_000061	迪弥恩大宝剑 
ITEM_20150317_000062	大师之 剑 
ITEM_20150317_000063	哑剧之剑 
ITEM_20150317_000064	一把哑剧上使用的粗糙的宝剑. 你完全可以自制一个优质版本. 
ITEM_20150317_000065	影林军刀 
ITEM_20150317_000066	有人说这把武器释放的怨念能让植物嫌弃动物. 
ITEM_20150317_000067	黄金质砍刀 
ITEM_20150317_000068	可能是土豪金的霸气, 这把黄金质砍刀在战斗中赋予持有者好运, 给它的敌人造成伤害和不幸. 
ITEM_20150317_000069	钢质的砍刀 
ITEM_20150317_000070	这把不锈钢的砍刀对于那些追求精准剑术的人是个不错的选择. 
ITEM_20150317_000071	秘银质 砍刀 
ITEM_20150317_000072	它既轻便又坚固可以让你在攻击时释放你的潜力. 
ITEM_20150317_000073	曼德拉镐 
ITEM_20150317_000074	这种剑据说能清净心理领悟到曼德拉山的精华. 
ITEM_20150317_000075	巫师的匕首 
ITEM_20150317_000076	你永远都不要低估一个挥舞着剑的巫师, 特别当是巫师匕首的时候. 
ITEM_20150317_000077	坎么奈斯之剑 
ITEM_20150317_000078	这种剑的制造配方来自于冻勺子家族的炼金术士, 他声称能做的比黑铁匠更好. 
ITEM_20150317_000079	荣耀 
ITEM_20150317_000080	这种剑对得起它昂贵的价格. 但是呢, 商人们更希望你回来买新的而不是长期使用它. 
ITEM_20150317_000081	密斯卡斯军刀 
ITEM_20150317_000082	这把武器会让你的剑术迅速提升. 
ITEM_20150317_000083	大帝国之剑 
